group_id,timeslot_id,day,period,subject_id,teacher_id,room_id
G1,4,Mon,4,31901-2013,T08,R5306
G1,6,Mon,6,31901-2017,T07,R5402
G1,7,Mon,7,31901-2017,T07,R5402
G1,8,Mon,8,31901-2017,T07,R5402
G1,9,Mon,9,31901-2017,T07,R5402
G1,10,Mon,10,31901-2017,T07,R5402
G1,11,Mon,11,31901-2017,T07,R5402
G1,13,Tue,1,31901-2006,T03,R??????
G1,14,Tue,2,30000-1202,T06,R6201
G1,15,Tue,3,30000-1202,T06,R6201
G1,18,Tue,6,31901-2002,T01,R5204
G1,19,Tue,7,31901-2002,T01,R5204
G1,20,Tue,8,31901-2002,T01,R5204
G1,21,Tue,9,31901-2002,T01,R5204
G1,22,Tue,10,31901-2002,T01,R5204
G1,25,Wed,1,31901-2006,T03,R5203
G1,26,Wed,2,31901-2006,T03,R5203
G1,27,Wed,3,31901-2006,T03,R5203
G1,28,Wed,4,31901-2006,T03,R5203
G1,32,Wed,8,30000-2004,T07,R6302
G1,33,Wed,9,30000-2004,T07,R6302
G1,34,Wed,10,30000-1501,T02,R6301
G1,35,Wed,11,30000-1501,T02,R6301
G1,36,Wed,12,30000-1501,T02,R6301
G1,37,Thu,1,30001-1001,T09,R6405
G1,38,Thu,2,30001-1001,T09,R6405
G1,39,Thu,3,30001-1001,T09,R6405
G1,40,Thu,4,30001-1001,T09,R6405
G1,42,Thu,6,31901-2009,T05,R6301
G1,43,Thu,7,31901-2009,T05,R6301
G1,44,Thu,8,31901-2009,T05,R6301
G1,45,Thu,9,31901-2009,T05,R6301
G1,46,Thu,10,31901-2009,T05,R6301
G1,49,Fri,1,31901-2013,T08,R6405
G1,50,Fri,2,31901-2013,T08,R6405
G1,51,Fri,3,31901-2013,T08,R6405
G1,52,Fri,4,31901-2013,T08,R6405
G1,54,Fri,6,31901-2010,T04,R5306
G1,55,Fri,7,31901-2010,T04,R5306
G1,56,Fri,8,31901-2010,T04,R5306
G1,57,Fri,9,31901-2010,T04,R5306
G1,58,Fri,10,31901-2010,T04,R5306
G2,1,Mon,1,30001-1001,T09,R6203
G2,2,Mon,2,30001-1001,T09,R6203
G2,3,Mon,3,30001-1001,T09,R6203
G2,4,Mon,4,30001-1001,T09,R6203
G2,6,Mon,6,31901-2006,T03,R6301
G2,7,Mon,7,31901-2006,T03,R6301
G2,8,Mon,8,31901-2006,T03,R6301
G2,9,Mon,9,31901-2006,T03,R6301
G2,10,Mon,10,31901-2006,T03,R6301
G2,14,Tue,2,30000-1202,T06,R6201
G2,15,Tue,3,30000-1202,T06,R6201
G2,18,Tue,6,31901-2009,T04,R5105
G2,19,Tue,7,31901-2009,T04,R5105
G2,20,Tue,8,31901-2009,T04,R5105
G2,21,Tue,9,31901-2009,T04,R5105
G2,22,Tue,10,31901-2009,T04,R5105
G2,23,Tue,11,31901-2013,T08,R6402
G2,32,Wed,8,30000-2004,T07,R6302
G2,33,Wed,9,30000-2004,T07,R6302
G2,34,Wed,10,30000-1501,T02,R6301
G2,35,Wed,11,30000-1501,T02,R6301
G2,36,Wed,12,30000-1501,T02,R6301
G2,37,Thu,1,31901-2013,T08,R6203
G2,38,Thu,2,31901-2013,T08,R6203
G2,39,Thu,3,31901-2013,T08,R6203
G2,40,Thu,4,31901-2013,T08,R6203
G2,42,Thu,6,31901-2017,T07,R6203
G2,43,Thu,7,31901-2017,T07,R6203
G2,44,Thu,8,31901-2017,T07,R6203
G2,45,Thu,9,31901-2017,T07,R6203
G2,46,Thu,10,31901-2017,T07,R6203
G2,47,Thu,11,31901-2017,T07,R6203
G2,54,Fri,6,31901-2002,T01,R6303
G2,55,Fri,7,31901-2002,T01,R6303
G2,56,Fri,8,31901-2002,T01,R6303
G2,57,Fri,9,31901-2002,T01,R6303
G2,58,Fri,10,31901-2002,T01,R6303
G3,1,Mon,1,31901-2007,T01,R6402
G3,2,Mon,2,31901-2007,T01,R6402
G3,3,Mon,3,31901-2007,T01,R6402
G3,4,Mon,4,31901-2007,T01,R6402
G3,6,Mon,6,31901-2005,T08,R6205
G3,7,Mon,7,31901-2005,T08,R6205
G3,8,Mon,8,31901-2005,T08,R6205
G3,9,Mon,9,31901-2005,T08,R6205
G3,10,Mon,10,31901-2005,T08,R6205
G3,13,Tue,1,31901-2012,T04,R10401
G3,14,Tue,2,31901-2012,T04,R10401
G3,15,Tue,3,31901-2012,T04,R10401
G3,16,Tue,4,31901-2012,T04,R10401
G3,25,Wed,1,31901-2012,T04,R5306
G3,32,Wed,8,30000-2002,T01,R5401
G3,33,Wed,9,30000-2002,T01,R5401
G3,34,Wed,10,30001-1002,T12,R??????
G3,35,Wed,11,30001-1002,T12,R??????
G3,36,Wed,12,30001-1002,T12,R??????
G3,37,Thu,1,30000-1404,T11,R6402
G3,38,Thu,2,30000-1404,T11,R6402
G3,39,Thu,3,30000-1404,T11,R6402
G3,40,Thu,4,31901-2007,T01,R5402
G3,49,Fri,1,30001-1003,T07,R5401
G3,50,Fri,2,30001-1003,T07,R5401
G3,51,Fri,3,30001-1003,T07,R5401
G3,52,Fri,4,30001-1003,T07,R5401
G3,54,Fri,6,30000-1201,T10,R6402
G3,55,Fri,7,30000-1201,T10,R6402
G3,56,Fri,8,30000-1201,T10,R6402
G4,1,Mon,1,30001-1002,T12,R6204
G4,2,Mon,2,30001-1002,T12,R6204
G4,3,Mon,3,30001-1002,T12,R6204
G4,6,Mon,6,31901-2007,T01,R6302
G4,7,Mon,7,31901-2007,T01,R6302
G4,8,Mon,8,31901-2007,T01,R6302
G4,9,Mon,9,31901-2007,T01,R6302
G4,10,Mon,10,31901-2007,T01,R6302
G4,13,Tue,1,30000-1201,T10,R6301
G4,14,Tue,2,30000-1201,T10,R6301
G4,15,Tue,3,30000-1201,T10,R6301
G4,18,Tue,6,31901-2005,T03,R5306
G4,19,Tue,7,31901-2005,T03,R5306
G4,20,Tue,8,31901-2005,T03,R5306
G4,21,Tue,9,31901-2005,T03,R5306
G4,22,Tue,10,31901-2005,T03,R5306
G4,32,Wed,8,30000-2002,T01,R5401
G4,33,Wed,9,30000-2002,T01,R5401
G4,42,Thu,6,31901-2012,T04,R6402
G4,43,Thu,7,31901-2012,T04,R6402
G4,44,Thu,8,31901-2012,T04,R6402
G4,45,Thu,9,31901-2012,T04,R6402
G4,46,Thu,10,31901-2012,T04,R6402
G4,49,Fri,1,30000-1404,T11,R10401
G4,50,Fri,2,30000-1404,T11,R10401
G4,51,Fri,3,30000-1404,T11,R10401
G4,54,Fri,6,30001-1003,T07,R6404
G4,55,Fri,7,30001-1003,T07,R6404
G4,56,Fri,8,30001-1003,T07,R6404
G4,57,Fri,9,30001-1003,T07,R6404
G5,1,Mon,1,31900-1001,T07,R6302
G5,6,Mon,6,31901-2012,T04,R6402
G5,7,Mon,7,31901-2012,T04,R6402
G5,8,Mon,8,31901-2012,T04,R6402
G5,9,Mon,9,31901-2012,T04,R6402
G5,10,Mon,10,31901-2012,T04,R6402
G5,13,Tue,1,31901-2005,T08,R6203
G5,14,Tue,2,31901-2005,T08,R6203
G5,15,Tue,3,31901-2005,T08,R6203
G5,16,Tue,4,31901-2005,T08,R6203
G5,18,Tue,6,31900-0001,T07,R6405
G5,19,Tue,7,31900-0001,T07,R6405
G5,20,Tue,8,31900-0001,T07,R6405
G5,21,Tue,9,31900-0001,T07,R6405
G5,22,Tue,10,31900-0001,T07,R6405
G5,25,Wed,1,30001-1002,T12,R10401
G5,26,Wed,2,30001-1002,T12,R10401
G5,27,Wed,3,30001-1002,T12,R10401
G5,28,Wed,4,31901-2005,T08,R6402
G5,32,Wed,8,30000-2002,T01,R5401
G5,33,Wed,9,30000-2002,T01,R5401
G5,37,Thu,1,30000-1404,T11,R6402
G5,38,Thu,2,30000-1404,T11,R6402
G5,39,Thu,3,30000-1404,T11,R6402
G5,42,Thu,6,31900-0004,T01,R6302
G5,43,Thu,7,31900-0004,T01,R6302
G5,44,Thu,8,31900-0004,T01,R6302
G5,45,Thu,9,31900-0004,T01,R6302
G5,46,Thu,10,31900-0004,T01,R6302
G5,49,Fri,1,31900-1002,T04,R5306
G5,50,Fri,2,31900-1002,T04,R5306
G5,51,Fri,3,31900-1002,T04,R5306
G5,54,Fri,6,30000-1201,T10,R6402
G5,55,Fri,7,30000-1201,T10,R6402
G5,56,Fri,8,30000-1201,T10,R6402
G6,1,Mon,1,20901-2009,T08,R5306
G6,2,Mon,2,20901-2009,T08,R5306
G6,3,Mon,3,20901-2009,T08,R5306
G6,18,Tue,6,20901-2107,T13,R6205
G6,19,Tue,7,20901-2107,T13,R6205
G6,20,Tue,8,20901-2107,T13,R6205
G6,25,Wed,1,20901-8503,T07,R6402
G6,26,Wed,2,20901-8503,T07,R6402
G6,27,Wed,3,20901-2007,T18,R6405
G6,28,Wed,4,20901-2007,T18,R6405
G6,37,Thu,1,20901-2106,T05,R6403
G6,38,Thu,2,20901-2106,T05,R6403
G6,39,Thu,3,20901-2106,T05,R6403
G6,40,Thu,4,20901-2106,T05,R6403
G6,49,Fri,1,20001-1003,T15,R6205
G6,50,Fri,2,20001-1003,T15,R6205
G6,51,Fri,3,20001-1003,T15,R6205
G7,1,Mon,1,20000-1402,T17,R5201
G7,2,Mon,2,20000-1402,T17,R5201
G7,6,Mon,6,20901-2407,T13,R5406
G7,7,Mon,7,20901-2407,T13,R5406
G7,8,Mon,8,20901-2407,T13,R5406
G7,9,Mon,9,20901-2407,T13,R5406
G7,13,Tue,1,20001-1003,T15,R6405
G7,14,Tue,2,20001-1003,T15,R6405
G7,15,Tue,3,20001-1003,T15,R6405
G7,18,Tue,6,20901-2406,T18,R6201
G7,19,Tue,7,20901-2406,T18,R6201
G7,20,Tue,8,20901-2406,T18,R6201
G7,25,Wed,1,20901-8503,T18,R6201
G7,26,Wed,2,20901-8503,T18,R6201
G7,32,Wed,8,20000-2007,T18,R5203
G7,33,Wed,9,20000-2007,T18,R5203
G7,42,Thu,6,20901-2408,T13,R5402
G7,43,Thu,7,20901-2408,T13,R5402
G7,44,Thu,8,20901-2408,T13,R5402
G7,45,Thu,9,20901-2408,T13,R5402
G7,46,Thu,10,20901-2408,T13,R5402
G7,47,Thu,11,20901-2408,T13,R5402
G7,49,Fri,1,20000-1208,T16,R6301
G7,50,Fri,2,20000-1208,T16,R6301
G7,54,Fri,6,20901-9203,T08,R10401
G7,55,Fri,7,20901-9203,T08,R10401
G7,56,Fri,8,20901-9203,T08,R10401
G8,1,Mon,1,21900-1004,T18,R6405
G8,2,Mon,2,21900-1004,T18,R6405
G8,3,Mon,3,21900-1004,T18,R6405
G8,13,Tue,1,21901-2012,T13,R5402
G8,14,Tue,2,21901-2012,T13,R5402
G8,15,Tue,3,21901-2012,T13,R5402
G8,25,Wed,1,21901-2017,T05,R6404
G8,26,Wed,2,21901-2017,T05,R6404
G8,27,Wed,3,21901-2017,T05,R6404
G8,42,Thu,6,21901-2010,T18,R5101
G8,43,Thu,7,21901-2010,T18,R5101
G8,44,Thu,8,21901-2010,T18,R5101
G8,45,Thu,9,21901-2010,T18,R5101
G8,46,Thu,10,21901-2010,T18,R5101
G8,54,Fri,6,21901-2011,T05,R6205
G8,55,Fri,7,21901-2011,T05,R6205
G8,56,Fri,8,21901-2011,T05,R6205
G8,57,Fri,9,21901-2011,T05,R6205
G8,58,Fri,10,21901-2011,T05,R6205